tt0105691 {'critics_score': 25, 'audience_score': 49} 
tt0102122 {'critics_score': -1, 'audience_score': 20} 
tt0101889 {'critics_score': 84, 'audience_score': 83} 
tt0103957 {'critics_score': -1, 'audience_score': 40} 
tt0102782 {'critics_score': 0, 'audience_score': 46} 
tt0101507 {'critics_score': 96, 'audience_score': 88} 
tt0102116 {'critics_score': 74, 'audience_score': 77} 
tt0102469 {'critics_score': 57, 'audience_score': 33} 
tt0099077 {'critics_score': 87, 'audience_score': 85} 
tt0101518 {'critics_score': -1, 'audience_score': 16} 
tt0100258 {'critics_score': 68, 'audience_score': 67} 
tt0100395 {'critics_score': 90, 'audience_score': 64} 
tt0099582 {'critics_score': 52, 'audience_score': 60} 
tt1707386 {'critics_score': 70, 'audience_score': 81} 
tt1194173 {'critics_score': 56, 'audience_score': 57} 
tt1637725 {'critics_score': 69, 'audience_score': 80} 
tt1735898 {'critics_score': 48, 'audience_score': 54} 
tt1195478 {'critics_score': 64, 'audience_score': 54} 
tt1605630 {'critics_score': 44, 'audience_score': 66} 
tt1440129 {'critics_score': 34, 'audience_score': 55} 
tt1482459 {'critics_score': 54, 'audience_score': 65} 
tt1599348 {'critics_score': 53, 'audience_score': 65} 
tt1430615 {'critics_score': 74, 'audience_score': 64} 
tt1524137 {'critics_score': 51, 'audience_score': 58} 
tt0471042 {'critics_score': 69, 'audience_score': 50} 
tt0905372 {'critics_score': 36, 'audience_score': 42} 
tt1634122 {'critics_score': 38, 'audience_score': 45} 
tt1488555 {'critics_score': 25, 'audience_score': 48} 
tt0409847 {'critics_score': 44, 'audience_score': 45} 
tt1583420 {'critics_score': 35, 'audience_score': 42} 
tt1657283 {'critics_score': 10, 'audience_score': 51} 
tt1478338 {'critics_score': 90, 'audience_score': 76} 
tt1596343 {'critics_score': 78, 'audience_score': 83} 
tt1240982 {'critics_score': 26, 'audience_score': 33} 
tt1411704 {'critics_score': 26, 'audience_score': 53} 
tt1385826 {'critics_score': 73, 'audience_score': 67} 
tt1092026 {'critics_score': 72, 'audience_score': 66} 
tt0881320 {'critics_score': 30, 'audience_score': 38} 
tt1578275 {'critics_score': 24, 'audience_score': 31} 
tt0970866 {'critics_score': 10, 'audience_score': 38} 
tt1424432 {'critics_score': 92, 'audience_score': 95} 
tt1438254 {'critics_score': 28, 'audience_score': 61} 
tt0446029 {'critics_score': 81, 'audience_score': 83} 
tt1323594 {'critics_score': 81, 'audience_score': 81} 
tt1226229 {'critics_score': 72, 'audience_score': 63} 
tt0955308 {'critics_score': 43, 'audience_score': 59} 
tt1415283 {'critics_score': 75, 'audience_score': 53} 
tt1053424 {'critics_score': 22, 'audience_score': 42} 
tt0947810 {'critics_score': 53, 'audience_score': 59} 
tt0780653 {'critics_score': 35, 'audience_score': 38} 
tt1216492 {'critics_score': 21, 'audience_score': 48} 
tt1230414 {'critics_score': 56, 'audience_score': 63} 
